transition_type,rate
decreasing_decreasing,0.010230168682746774
decreasing_increasing,1.664350967326719e-05
decreasing_unchanging,0.0009063709055161684
increasing_decreasing,1.2275238629512663e-05
increasing_increasing,0.11968008744514466
increasing_unchanging,0.002520445813556059
unchanging_decreasing,0.0009081415581018422
unchanging_increasing,0.0025219075474576173
unchanging_unchanging,0.06320395929917409
